"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Pitpnm3",4.97216125956584e-42,0.33608863879252,0.715,0.511,1.26402283540683e-37
"Jmjd1c",5.61990270571368e-42,0.330860461514056,0.969,0.923,1.42869166584653e-37
"Sox11",6.64956914239371e-42,0.335966608090993,0.474,0.254,1.69045346737933e-37
"Ppp1r37",9.55628275646418e-42,0.270485250941523,0.627,0.383,2.42939820234832e-37
"Slk",1.04696803363444e-41,0.314147063583269,0.658,0.433,2.66160213510547e-37
"Rai2",1.05842917558578e-41,0.349571982012896,0.348,0.155,2.69073865017418e-37
"Capza2",1.09137154170532e-41,0.318757740990707,0.643,0.415,2.77448473332326e-37
"Dnajb4",1.0935798955813e-41,0.332290029301015,0.709,0.491,2.78009881054679e-37
"Gm43948",1.91110884162338e-41,0.519576255013233,0.517,0.328,4.85842089717495e-37
"Ndfip1",2.02456539160572e-41,0.499098695675246,0.94,0.9,5.14685013854006e-37
"Hspa5",2.03248816915923e-41,0.29920160883188,0.681,0.44,5.16699142363661e-37
"Rplp1",2.62981066085968e-41,0.256402358980603,0.59,0.333,6.68550466203748e-37
"Nsun7",3.18766497587467e-41,0.26990542068712,0.4,0.189,8.10368190166859e-37
"Tmed8",3.84941704976527e-41,0.250653099102217,0.516,0.279,9.78598802391327e-37
"Atp11b",4.4013351310614e-41,0.389699094169358,0.854,0.712,1.11890741701843e-36
"Arhgap5",4.78824295798941e-41,0.46173615652266,0.805,0.634,1.21726712478007e-36
"Lrrc8b",4.86081241535749e-41,0.343510272453722,0.769,0.553,1.23571573223218e-36
"Ccnb1",5.79394044216975e-41,0.285537851483045,0.195,0.049,1.47293553920839e-36
"Pfkp",8.42705142787838e-41,0.308481734888687,0.926,0.794,2.14232501399524e-36
"Atp8a2",9.77139527680638e-41,0.352183212025856,0.925,0.854,2.48408410726972e-36
"Mybpc1",1.07212516087458e-40,0.342556121294483,0.116,0.007,2.72555658397535e-36
"1810037I17Rik",6.64405083440692e-40,0.277041730583074,0.434,0.224,1.68905060312293e-35
"Nwd2",7.93126642700584e-40,0.500476310740521,0.818,0.681,2.01628655107342e-35
"Rpl41",9.53178813129575e-40,0.263944287477168,0.652,0.399,2.42317117873801e-35
"Grm8",9.90305250137629e-40,0.83236188498482,0.838,0.732,2.51755400689988e-35
"Rab6a",1.41572758388975e-39,0.332923970389332,0.886,0.719,3.59906266376451e-35
"Selenok",2.32600947585468e-39,0.276597873956578,0.63,0.394,5.91318128951777e-35
"Vipr1",3.07559245729348e-39,0.257886443035857,0.577,0.342,7.81877114493147e-35
"Ttc7b",3.40097084947909e-39,0.321868231395469,0.948,0.867,8.64594809354574e-35
"Kbtbd11",5.58193088012627e-39,0.262576374151623,0.481,0.262,1.4190384683457e-34
"Stx1b",7.05493568037669e-39,0.276664680053163,0.645,0.4,1.79350574866536e-34
"Cstf3",7.26712697817931e-39,0.314136547993559,0.935,0.791,1.84744902039274e-34
"Napb",8.34410314966668e-39,0.305897054287328,0.793,0.578,2.12123790270826e-34
"Gng2",1.04405254834001e-38,0.364548107320852,0.8,0.619,2.65419038838996e-34
"Frmd5",1.28861047553281e-38,0.712563382322402,0.842,0.852,3.27590555089952e-34
"Cdt1",1.34428445228819e-38,0.403327868543118,0.114,0.009,3.41743993460703e-34
"Gpr158",2.04768783621942e-38,0.327510360929352,0.974,0.958,5.20563201723701e-34
"Mllt11",2.07698373464994e-38,0.290187638633719,0.716,0.48,5.28010805022707e-34
"Spata16",2.25849613168267e-38,0.437469283942259,0.183,0.048,5.74154886596367e-34
"Eef1akmt4",2.58333522499488e-38,0.284655488008542,0.165,0.035,6.56735480898198e-34
"Mgat5",2.85354921940041e-38,0.432363475791288,0.838,0.713,7.25429282555973e-34
"Morf4l2",2.99130714037281e-38,0.267992719065669,0.725,0.483,7.60450101225576e-34
"Cwh43",5.38764736297669e-38,0.253601960374192,0.286,0.114,1.36964771261593e-33
"Sorbs2os",6.13982570835556e-38,0.624032067668462,0.786,0.759,1.56086649157815e-33
"Gm49797",7.894537997337e-38,0.271918289902282,0.788,0.556,2.00694944968301e-33
"Hnrnpa2b1",1.08599130965223e-37,0.26456706213666,0.938,0.791,2.7608071073979e-33
"Camk2d",1.47988937269409e-37,0.501527496465106,0.731,0.541,3.76217476326293e-33
"Cramp1l",2.31877247263738e-37,0.257543938541684,0.673,0.439,5.89478337993875e-33
"Pgap1",3.34249772335422e-37,0.316698673484479,0.695,0.489,8.49729771231111e-33
"Prex1",3.42115090996778e-37,0.305847731646314,0.584,0.364,8.69724984332009e-33
"Zfp326",3.6212070762017e-37,0.281574947059233,0.592,0.366,9.20583262911997e-33
"Gm34544",4.48106091545191e-37,0.938226855679396,0.269,0.116,1.13917530592618e-32
"4931414P19Rik",5.88159658330881e-37,0.516603840755461,0.171,0.042,1.49521948340876e-32
"Cntnap4",6.2795683120976e-37,0.360427025577867,0.51,0.294,1.59639185630145e-32
"Fermt2",9.2747453624892e-37,0.279610642473197,0.713,0.502,2.357825766052e-32
"Ccdc50",9.38828843527843e-37,0.273506201865347,0.665,0.427,2.38669068601648e-32
"Fst",1.17094687477075e-36,0.259707258938393,0.148,0.028,2.97678114504219e-32
"Acat3",1.41479262349335e-36,0.415910694850886,0.115,0.011,3.5966858074448e-32
"Hk1",1.58752805532562e-36,0.325274977435124,0.706,0.517,4.0358138222488e-32
"Pdlim1",1.67555343105218e-36,0.263555593666765,0.241,0.086,4.25959193242085e-32
"Ccdc88a",1.67996530141922e-36,0.289422294187339,0.97,0.917,4.27080778926795e-32
"Btk",1.75388579259394e-36,0.318966486796166,0.122,0.015,4.45872846193231e-32
"Tmem65",1.94365216396332e-36,0.256432163245583,0.521,0.303,4.94115253122755e-32
"Sulf2",3.33354982111169e-36,0.305625597484919,0.431,0.225,8.47455035523014e-32
