"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Usp47",4.28565726398035e-74,0.43263463967209,0.802,0.597,1.08949978964909e-69
"Bcor",1.54464176736761e-73,0.433071407388372,0.611,0.354,3.92678830100194e-69
"Slco3a1",1.22602033792908e-72,0.458158259354181,0.755,0.55,3.1167889030833e-68
"Rhbdl3",1.47741664622616e-72,0.392231475329845,0.405,0.153,3.75588859803615e-68
"Cdkl1",3.94637018497454e-72,0.464905468153943,0.552,0.307,1.00324622842423e-67
"Eif2ak4",7.65375693166711e-72,0.370619896862892,0.548,0.286,1.94573808716841e-67
"Stac",8.3779625869208e-72,0.444095023301917,0.236,0.038,2.12984564884701e-67
"Nudt5",8.95461871558992e-72,0.380037037190884,0.64,0.38,2.27644316987727e-67
"Crtac1",1.92138000063239e-71,0.436165349758889,0.637,0.365,4.88453223760766e-67
"Dcdc2a",4.82862658586459e-71,0.299243012320799,0.235,0.038,1.2275334506585e-66
"Ntn1",2.36973520342816e-70,0.412796955482645,0.194,0.015,6.02434083415508e-66
"Anxa4",4.46209894472096e-70,0.338741426310638,0.211,0.025,1.13435479372696e-65
"Smarcc1",5.61322708002009e-70,0.408481565044342,0.788,0.59,1.42699458828271e-65
"Macrod1",7.91556376457821e-70,0.467716384288873,0.806,0.595,2.01229462023107e-65
"Trim3",9.99155583800131e-70,0.356714266304859,0.603,0.337,2.54005332513669e-65
"Cdk12",3.91830834834962e-69,0.382343188322451,0.835,0.649,9.9611234831744e-65
"Ccnb1",7.14034640245804e-69,0.40772587332618,0.249,0.049,1.81521886243288e-64
"Dtna",9.10282374722775e-69,0.429845218236914,0.932,0.82,2.31411985302024e-64
"Ubtd1",9.96782917622203e-69,0.260754380347502,0.291,0.075,2.53402153317916e-64
"Usp13",1.82189647654093e-68,0.409522804199793,0.64,0.4,4.63162522266235e-64
"Zbtb7c",5.67386959178362e-68,0.491627853438671,0.388,0.159,1.44241112762323e-63
"Ppp1r1b",6.83522591521695e-68,0.286154424914208,0.292,0.077,1.73765113216645e-63
"B230323A14Rik",6.92860657822059e-68,0.652128280460355,0.183,0.012,1.76139036431524e-63
"Sdk2",7.3729227759664e-68,0.44389809882962,0.731,0.449,1.87434442810618e-63
"Kcnc3",2.07220769891534e-67,0.338696421852542,0.575,0.312,5.26796641218258e-63
"Rab34",2.26743865069483e-67,0.311253311135323,0.297,0.081,5.76428253779639e-63
"Ecd",2.31604394879503e-67,0.338726890277748,0.495,0.24,5.88784692662672e-63
"Ptger3",3.23113655732828e-67,0.360387635924822,0.29,0.08,8.21419535603996e-63
"Psmd5",3.61646912877643e-67,0.316570152758511,0.381,0.146,9.19378781917543e-63
"Atp8a2",7.05879837931957e-67,0.411679750117279,0.924,0.854,1.79448772399062e-62
"Ece1",7.92807472743892e-67,0.412213830315539,0.683,0.442,2.01547515720952e-62
"Stn1",8.28286638774529e-67,0.345364416634544,0.374,0.145,2.10567029309261e-62
"Orai2",9.07952785728828e-67,0.312318981572101,0.405,0.162,2.30819757187983e-62
"Col27a1",1.07632319507529e-66,0.350935941840398,0.185,0.015,2.73622882652041e-62
"Maml2",3.63725738280537e-66,0.708780865158306,0.406,0.188,9.24663571856781e-62
"Atf7",4.15247668449161e-66,0.4113070806451,0.775,0.552,1.05564262273146e-61
"Ifrd1",5.65528550961295e-66,0.34990500839886,0.659,0.41,1.4376866822538e-61
"Kif17",5.93294256493265e-66,0.347792995830431,0.546,0.294,1.50827265885718e-61
"Rasa3",7.3970051732883e-66,0.400435872112035,0.587,0.34,1.88046665515335e-61
"Tll2",7.99634338078826e-66,0.302531453827145,0.196,0.021,2.03283041426399e-61
"Adam2",8.72315231571283e-66,0.404879487447052,0.327,0.101,2.21759978170052e-61
"Kcnd3",1.3030573255891e-65,0.408030169096493,0.92,0.788,3.3126323331126e-61
"Gnao1",1.55984759976187e-65,0.352402101098069,0.94,0.863,3.96544456811463e-61
"Itga9",2.32304949054483e-65,0.32092726611576,0.206,0.028,5.90565641486306e-61
"Rasgrp1",2.70940868956506e-65,0.380337861751542,0.839,0.647,6.88785877061229e-61
"Gm16183",3.03191009305818e-65,0.414101562848408,0.68,0.448,7.7077218385725e-61
"Sorcs1",3.3486460961554e-65,0.587630789722632,0.88,0.706,8.51292810564625e-61
"Tmem232",8.82175017632715e-65,0.50328689564379,0.287,0.084,2.24266532982589e-60
"Atp6v1e1",8.98230098213183e-65,0.339733540212227,0.577,0.319,2.28348055567755e-60
"Col4a2",9.32848160081483e-65,0.565517810999543,0.648,0.44,2.37148659255914e-60
"1700111E14Rik",1.49812071830587e-64,0.467356034992426,0.787,0.587,3.80852249007719e-60
"Gsdme",4.44616029468004e-64,0.47074427037645,0.788,0.567,1.13030287011356e-59
"P4htm",5.70481886157251e-64,0.342277157043248,0.572,0.317,1.45027905098896e-59
"Tdg",1.44978278253413e-63,0.324503503447959,0.417,0.183,3.68563778975827e-59
"Bmpr1a",2.17932159563309e-63,0.383039868715321,0.685,0.444,5.54027136041843e-59
"Mark1",4.32644869244777e-63,0.387447883205716,0.839,0.676,1.09986978659407e-58
"Vstm2b",6.01236609609592e-63,0.300106981130893,0.446,0.202,1.5284637089495e-58
"Arl15",2.28163461140814e-62,0.66251751568708,0.923,0.869,5.80037150912178e-58
"Slc24a4",2.45191316976823e-62,0.565835975961251,0.643,0.452,6.2332536601848e-58
"Creb3l2",4.43184376754482e-62,0.270537798840542,0.256,0.062,1.12666332258524e-57
"Vstm2l",5.14244561101849e-62,0.287279068756941,0.368,0.14,1.30731252323312e-57
"Gm45345",6.86507612863074e-62,0.29327175151055,0.38,0.149,1.74523965342051e-57
"9630002D21Rik",8.38996558504336e-62,0.481724088509334,0.218,0.041,2.13289705102972e-57
"Adgrf4",1.02961671723707e-61,0.283255313561163,0.196,0.027,2.61749161856008e-57
"Igsf9b",1.2547750799173e-61,0.431586970850351,0.892,0.781,3.18988920816575e-57
"Gk5",1.3183143017135e-61,0.257331089276684,0.296,0.09,3.35141861781606e-57
"Fam13c",2.05910843681935e-61,0.40316250005712,0.734,0.521,5.23466546808215e-57
"Lipe",2.16679040069242e-61,0.329736103722508,0.453,0.216,5.50841455664027e-57
"Sv2b",2.27050900039467e-61,0.38212741698639,0.961,0.926,5.77208798080334e-57
"Lingo1",3.0115104295355e-61,0.383913146172127,0.911,0.812,7.65586181396514e-57
"Sh3bp5",4.34342001529172e-61,0.376537437018157,0.634,0.402,1.10418423628746e-56
"Tanc1",4.75044293080044e-61,0.554824426783417,0.444,0.219,1.20765760186809e-56
"Celf4",6.07228708517566e-61,0.406667875025394,0.976,0.945,1.54369682279336e-56
"Zfp704",2.68785941588002e-60,0.383434397452632,0.784,0.583,6.83307620705019e-56
"Abcc1",3.04915170853006e-60,0.380702184257742,0.546,0.315,7.75155347342513e-56
"Hk1",3.944198461251e-60,0.381633938908487,0.716,0.517,1.00269413281923e-55
"Coro1c",1.37526841282258e-59,0.346603253139028,0.536,0.297,3.49620735907757e-55
"Adra1b",1.45376112702828e-59,0.305898373259545,0.314,0.106,3.69575153713129e-55
"Hes1",1.75094860411881e-59,0.324338036344291,0.332,0.121,4.45126154139085e-55
"4732463B04Rik",2.35490795185956e-59,0.273323467557923,0.328,0.117,5.98664699521737e-55
"Mpp6",2.63193742181398e-59,0.440501026362496,0.785,0.594,6.69091131373549e-55
"Hspbap1",4.99453153824181e-59,0.279989043454247,0.403,0.174,1.26970980765183e-54
"Flrt1",5.21343982558293e-59,0.31138505171101,0.604,0.348,1.32536067245969e-54
"Rgs9",1.21541601723816e-58,0.330369120947258,0.377,0.154,3.08983059902285e-54
"Myo16",1.38656273317428e-58,0.97201406199941,0.664,0.51,3.52491978027565e-54
"Tenm3",1.39508359672134e-58,0.657434779116258,0.88,0.744,3.54658151958498e-54
"6530403H02Rik",2.62895913211674e-58,0.68893882567862,0.533,0.279,6.68333990566718e-54
"Ripk2",3.64256562876513e-58,0.344923968226084,0.474,0.245,9.2601303414467e-54
"Col4a1",3.85014946576754e-58,0.490249463207942,0.612,0.4,9.78784997187424e-54
"Cst3",5.96639915873724e-58,0.35656459515095,0.613,0.366,1.51677799413418e-53
